Price,Tenure,Property_Type,Built_Up,Furnishing,Bedroom,Bathroom,Area,classification
227000,0,4,812,2,3,2,13,1
550000,0,6,1800,1,4,3,13,1
425000,0,9,1149,0,3,2,13,1
703000,0,9,500,0,2,1,3,1
158000,0,3,700,1,3,2,13,1
324000,0,4,1180,2,4,3,13,1
280000,0,9,1030,2,3,2,14,1
803000,0,6,2300,1,4,3,13,1
891000,0,9,1211,1,2,2,14,1
580000,0,6,1600,2,3,2,13,1
1250000,0,9,1701,0,4,3,14,1
860000,0,9,1937,0,4,2,13,1
388000,0,6,1300,2,4,3,13,1
283000,0,6,1180,2,3,2,13,1
600000,0,9,1331,2,4,4,13,1
310000,0,9,900,1,3,2,14,1
780000,0,6,1988,2,5,3,13,1
1050000,0,9,1450,0,3,2,10,1
1080000,0,6,1650,2,4,3,13,1
401000,0,6,1225,2,4,3,13,1
300000,0,3,960,2,3,2,13,1
1130000,0,6,1300,0,4,3,10,1
522000,0,9,732,1,2,2,14,1
350000,0,9,732,0,2,2,13,1
610000,0,6,2800,1,4,3,13,1
538000,1,9,1346,2,4,3,13,1
528000,0,9,1326,1,3,2,14,1
610000,0,6,2050,1,4,3,13,1
1050000,0,9,800,0,3,2,3,1
1050000,0,9,1450,0,3,2,10,1
650000,0,9,1315,1,3,2,9,1
1050000,0,9,1450,0,3,2,10,1
255000,0,4,950,2,3,2,13,1
268000,0,3,872,2,4,2,13,1
190000,0,3,650,2,3,2,14,1
460000,0,9,935,0,3,2,14,1
1000000,0,9,1150,1,2,2,14,1
970000,0,6,3311,2,4,3,13,1
518000,1,9,979,0,3,2,13,1
372000,0,10,2380,1,4,3,9,1
240000,0,3,827,2,3,2,14,1
460000,0,6,1800,1,4,3,13,1
150000,0,3,753,2,3,2,13,1
140000,0,3,660,2,3,2,13,1
290000,0,3,875,1,3,2,13,1
380000,0,6,1400,1,3,2,13,1
935000,0,9,1342,2,3,2,13,1
430000,0,9,1024,2,3,2,13,1
279000,0,4,956,1,3,2,13,1
780000,0,4,1200,0,3,2,14,1
356000,0,9,1270,2,3,3,13,1
225000,0,9,889,2,3,2,13,1
1050000,0,9,1733,1,4,3,13,1
848000,0,6,1905,1,4,3,12,1
450000,0,9,915,0,3,2,13,1
268000,0,9,1076,2,3,2,13,1
1000000,0,9,1150,1,2,2,14,1
1050000,0,9,1450,0,3,2,10,1
405000,0,9,1638,1,4,2,13,1
445000,0,9,1333,2,3,2,10,1
1050000,0,9,1450,0,3,2,10,1
1050000,0,9,1450,0,3,2,10,1
1050000,0,9,777,0,3,2,14,1
300000,0,9,872,1,3,2,13,1
600000,0,9,1192,1,3,2,14,1
1100000,0,4,963,1,2,2,14,1
295000,0,9,619,2,2,2,10,1
526000,0,6,2519,2,4,3,9,1
538000,1,9,1346,2,4,3,13,1
388000,0,6,2138,1,4,2,13,1
385000,0,9,1100,2,4,2,13,1
495000,0,6,1167,1,4,3,13,1
160000,0,6,800,2,3,1,10,1
600000,0,6,1600,2,4,3,10,1
200000,0,3,918,2,3,2,11,1
538000,0,2,1200,1,3,2,14,1
345000,0,6,1300,0,3,2,13,1
738000,0,6,2230,1,4,4,13,1
780000,0,6,1988,2,5,3,13,1
260000,0,9,600,0,2,2,14,1
490000,1,9,1040,1,3,2,14,1
538000,1,9,1346,2,4,3,13,1
316000,0,4,1051,2,3,2,14,1
1050000,0,9,1450,0,3,2,10,1
260000,0,3,750,1,3,2,13,1
252000,1,6,1750,2,4,3,8,1
1150000,1,9,1967,1,3,4,13,1
700000,0,6,1900,1,4,4,13,1
800000,0,9,1614,1,4,3,14,1
305000,0,3,850,1,3,2,13,1
480000,0,9,1313,2,3,2,10,1
558000,0,6,1650,1,4,3,13,1
230000,0,6,1120,1,2,2,13,1
405000,0,6,1400,2,3,2,13,1
608000,0,6,1540,1,4,3,13,1
583000,0,9,1076,0,2,2,3,1
324000,0,9,1321,2,3,2,14,1
364500,0,6,1899,1,4,3,13,1
660000,0,6,1956,1,4,4,13,1
299000,0,9,998,1,3,2,13,1
912000,0,10,2678,1,5,4,13,1
358000,0,9,920,1,3,2,14,1
518000,1,9,979,0,3,2,13,1
490000,0,9,1093,0,3,2,13,1
270000,0,3,890,1,2,2,13,1
500000,0,10,5300,2,4,3,10,1
489000,0,9,1120,2,3,2,14,1
300000,0,3,960,2,3,2,13,1
245000,0,3,650,2,3,2,14,1
310000,0,9,1005,2,3,2,10,1
255000,0,9,850,1,3,3,13,1
450000,0,9,940,0,2,2,14,1
460000,0,9,1100,2,3,2,10,1
538000,1,9,1346,2,4,3,13,1
518000,1,9,979,0,3,2,13,1
658000,0,9,1033,1,3,2,13,1
600000,0,9,1260,1,3,2,14,1
1050000,0,9,1410,1,2,2,14,1
307000,0,9,775,1,2,2,13,1
300000,0,3,960,2,3,2,13,1
538000,1,9,1346,2,4,3,13,1
393000,0,9,1200,1,4,3,13,1
616000,0,6,2000,1,4,3,14,1
960000,0,9,1378,0,3,3,14,1
310000,0,9,1005,2,3,2,10,1
230000,0,3,700,1,3,2,14,1
750000,0,9,1468,1,4,3,13,1
769000,0,6,1967,1,4,3,13,1
490000,0,9,1260,1,3,2,14,1
320000,0,9,1005,2,3,2,10,1
538000,1,9,1346,2,4,3,13,1
390000,0,3,1157,0,3,2,13,1
63000,0,3,656,1,3,2,11,1
315000,0,9,1200,1,3,1,13,1
450000,0,6,1200,2,3,2,13,1
381000,1,4,1215,2,3,2,13,1
570000,0,9,1325,0,3,2,14,1
280000,0,3,792,0,2,2,13,1
